activation_id,game_id,promo_id,sponsor_id,sponsor_category,activation_type,activation_location,activation_goal,sponsor_attached_flag,synthetic_data_flag,notes
ACT_000015,TP_2023_033,PROMO_00045,SPONSOR_041,grocery,hospitality,suite_level,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000016,TP_2023_036,PROMO_00050,SPONSOR_025,healthcare,hospitality,pregame,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000017,TP_2023_037,PROMO_00051,SPONSOR_042,auto,signage,ballpark,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000018,TP_2023_038,PROMO_00052,SPONSOR_073,healthcare,hospitality,suite_level,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000019,TP_2023_039,PROMO_00053,SPONSOR_079,auto,community,suite_level,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000020,TP_2023_039,PROMO_00054,SPONSOR_069,local_business,community,concourse,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000021,TP_2023_043,PROMO_00060,SPONSOR_029,banking,hospitality,suite_level,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000022,TP_2023_044,PROMO_00061,SPONSOR_052,healthcare,signage,concourse,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000023,TP_2023_045,PROMO_00063,SPONSOR_071,insurance,giveaway,digital,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000024,TP_2023_047,PROMO_00065,SPONSOR_019,restaurant,signage,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000025,TP_2023_047,PROMO_00066,SPONSOR_020,healthcare,theme_night,ballpark,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000026,TP_2023_048,PROMO_00068,SPONSOR_014,local_business,digital,digital,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000027,TP_2023_051,PROMO_00071,SPONSOR_045,education,theme_night,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000028,TP_2023_051,PROMO_00072,SPONSOR_043,auto,concourse_table,concourse,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000029,TP_2023_059,PROMO_00084,SPONSOR_040,nonprofit,concourse_table,concourse,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000030,TP_2023_067,PROMO_00094,SPONSOR_036,grocery,signage,digital,hospitality,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000031,TP_2023_069,PROMO_00096,SPONSOR_042,local_business,digital,digital,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000032,TP_2024_002,PROMO_00101,SPONSOR_070,healthcare,concourse_table,concourse,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000033,TP_2024_004,PROMO_00103,SPONSOR_020,education,signage,ballpark,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000034,TP_2024_005,PROMO_00104,SPONSOR_041,local_business,digital,digital,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000035,TP_2024_006,PROMO_00105,SPONSOR_084,auto,community,suite_level,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000036,TP_2024_012,PROMO_00110,SPONSOR_059,banking,concourse_table,concourse,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000037,TP_2024_013,PROMO_00111,SPONSOR_006,restaurant,concourse_table,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000038,TP_2024_015,PROMO_00113,SPONSOR_054,auto,giveaway,concourse,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000039,TP_2024_016,PROMO_00114,SPONSOR_011,local_business,concourse_table,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000040,TP_2024_017,PROMO_00115,SPONSOR_004,technology,on_field_recognition,field,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000041,TP_2024_018,PROMO_00116,SPONSOR_013,nonprofit,concourse_table,concourse,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000042,TP_2024_023,PROMO_00121,SPONSOR_053,education,on_field_recognition,field,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000043,TP_2024_024,PROMO_00122,SPONSOR_061,healthcare,community,digital,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000044,TP_2024_025,PROMO_00123,SPONSOR_084,banking,theme_night,concourse,hospitality,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000045,TP_2024_026,PROMO_00125,SPONSOR_078,grocery,digital,digital,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000046,TP_2024_028,PROMO_00127,SPONSOR_031,auto,concourse_table,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000047,TP_2024_030,PROMO_00129,SPONSOR_004,restaurant,theme_night,ballpark,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000048,TP_2024_031,PROMO_00130,SPONSOR_071,grocery,signage,concourse,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000049,TP_2024_032,PROMO_00131,SPONSOR_021,technology,giveaway,ballpark,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000050,TP_2024_035,PROMO_00134,SPONSOR_016,healthcare,hospitality,suite_level,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000051,TP_2024_038,PROMO_00139,SPONSOR_055,healthcare,hospitality,ballpark,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000052,TP_2024_044,PROMO_00145,SPONSOR_047,restaurant,digital,digital,hospitality,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000053,TP_2024_048,PROMO_00149,SPONSOR_075,technology,community,ballpark,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000054,TP_2024_051,PROMO_00152,SPONSOR_032,local_business,concourse_table,concourse,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000055,TP_2024_052,PROMO_00153,SPONSOR_024,restaurant,signage,concourse,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000056,TP_2024_055,PROMO_00157,SPONSOR_037,nonprofit,hospitality,ballpark,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000057,TP_2024_057,PROMO_00159,SPONSOR_085,local_business,community,pregame,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000058,TP_2024_057,PROMO_00160,SPONSOR_027,technology,signage,pregame,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000059,TP_2024_058,PROMO_00161,SPONSOR_041,restaurant,hospitality,pregame,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000060,TP_2024_059,PROMO_00163,SPONSOR_013,healthcare,giveaway,ballpark,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000061,TP_2024_061,PROMO_00165,SPONSOR_020,education,on_field_recognition,field,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000062,TP_2024_063,PROMO_00167,SPONSOR_040,restaurant,signage,ballpark,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000063,TP_2024_063,PROMO_00168,SPONSOR_039,healthcare,signage,ballpark,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000064,TP_2024_069,PROMO_00174,SPONSOR_058,local_business,signage,ballpark,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000065,TP_2025_007,PROMO_00181,SPONSOR_037,banking,signage,concourse,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000066,TP_2025_009,PROMO_00182,SPONSOR_066,grocery,community,concourse,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000067,TP_2025_011,PROMO_00184,SPONSOR_012,insurance,theme_night,ballpark,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000068,TP_2025_016,PROMO_00188,SPONSOR_001,auto,concourse_table,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000069,TP_2025_017,PROMO_00189,SPONSOR_037,banking,digital,digital,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000070,TP_2025_019,PROMO_00191,SPONSOR_045,auto,hospitality,pregame,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000071,TP_2025_020,,SPONSOR_080,insurance,digital,digital,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000072,TP_2025_021,PROMO_00192,SPONSOR_023,education,theme_night,digital,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000073,TP_2025_023,PROMO_00194,SPONSOR_056,banking,signage,ballpark,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000074,TP_2025_025,PROMO_00196,SPONSOR_082,education,signage,suite_level,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000075,TP_2025_027,PROMO_00197,SPONSOR_025,local_business,theme_night,field,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000076,TP_2025_029,PROMO_00199,SPONSOR_007,healthcare,concourse_table,concourse,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000077,TP_2025_030,PROMO_00200,SPONSOR_083,local_business,theme_night,digital,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000078,TP_2025_031,PROMO_00201,SPONSOR_060,education,on_field_recognition,field,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000079,TP_2025_033,PROMO_00202,SPONSOR_052,education,concourse_table,concourse,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000080,TP_2025_039,PROMO_00207,SPONSOR_042,local_business,community,concourse,hospitality,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000081,TP_2025_041,PROMO_00209,SPONSOR_051,restaurant,concourse_table,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000082,TP_2025_042,PROMO_00211,SPONSOR_028,healthcare,concourse_table,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000083,TP_2025_043,PROMO_00212,SPONSOR_064,nonprofit,on_field_recognition,field,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000084,TP_2025_045,PROMO_00213,SPONSOR_030,healthcare,theme_night,field,brand_affinity,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000085,TP_2025_047,PROMO_00215,SPONSOR_076,restaurant,theme_night,suite_level,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000086,TP_2025_049,PROMO_00217,SPONSOR_025,grocery,on_field_recognition,field,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000087,TP_2025_058,PROMO_00224,SPONSOR_032,banking,on_field_recognition,field,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000088,TP_2025_060,PROMO_00226,SPONSOR_030,local_business,digital,digital,hospitality,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000089,TP_2025_061,PROMO_00227,SPONSOR_006,banking,on_field_recognition,field,lead_capture,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000090,TP_2025_063,PROMO_00228,SPONSOR_038,healthcare,concourse_table,concourse,awareness,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000091,TP_2025_064,PROMO_00229,SPONSOR_009,insurance,signage,field,sales,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000092,TP_2025_065,PROMO_00230,SPONSOR_023,restaurant,giveaway,concourse,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
ACT_000093,TP_2025_067,PROMO_00232,SPONSOR_002,grocery,on_field_recognition,field,community,True,True,Synthetic sponsorship context only; not used for sponsorship ROI analysis
